asin,reviewerID,reviewText,overall,summary,unixReviewTime,helpful_votes,total_votes,product_brand,product_title,product_price
B00002243X,A1R089P5AS26UE,"I have an old car, Its bound to need these sometime. I got a set after I gave my old ones to my boss whose truck was acting up. These are long (20') and heavy duty feeling. Usually I'm giving someone else a jump. If I ever have a bad experience with these I will come back and update the review.",5,Beefy,1390348800,0,0,Coleman Cable,"Coleman Cable 08662 25-Feet Heavy-Duty Booster Cables, 4-Gauge",55.99
B00008RW9U,A24EQC4LXYPT4E,Takes the dust off my car without leaving any streaking that some report with other brands. Just don't press real hard.,5,What to say,1400198400,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9U,A32TGXG3ZWJ4DY,This thing is great. I had another one from a different company that broke because the handle was plastic. This is wood and it feel a lot more solid. I have a black car and this takes the dust right off. Great buy! 10 out of 10,5,The Best,1399248000,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9U,A2RO3DC31WU3LY,"As we all know, dust gets over your rides in the garage, and is nice to be able to dust it off instead of complete re-detail!.",5,california duster,1401148800,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9U,A1QF996642YT9L,"Maybe I don't understand the finer points of keeping your car clean, but it seems to me that whatever instrument one uses to dust their car should not leave behind more lint and strands of fabric than it picks up.",3,"cheaply made, picks up some dust but leaves behind even more red fibers",1404086400,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9U,A38T1X0WFI8K9L,"The first worked so well I decided to purchase a second to keep in the car.  Not why, but as advertised the dirtier it gets the better seems to work.  As long as you use as suggested, dust your car, and not try to clean heavy dirt with it, it will leave your car spotless.",5,Second One,1394064000,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9U,A20ZLDHGXMVT8H,I gave a five star rating because of past expierence using this product.The first California car duster I had recieved as a gift  lasted 15 yrs.I bought a new one 5 yrs ago its still doing a good job and use that for my work truck.t I wanted to buy  one for my wife's vehicle..I like the wooden handle FYI follow instructions about putting it on a newpaper for 48 hrs.It will show some streaks the few times of use.They have to get broken in and it does a great job.I highly recommend this product.,5,The Original Car Duster is the Best,1395360000,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9U,A3MH75XEELHGY0,People were complaining about streaks but this works just as good as my 10 year old model it replaced. The handle feels a little cheaper but I haven't had any issues. Then again my car is white and maybe any streaking is harder to see. Just be sure to leave it out on some newspaper for a few days for best results.,4,Still does the job,1400544000,0,0,California Car Duster,California Car Duster 62442 Standard Car Duster with Wooden Handle,23.95
B00008RW9V,AVQDEM0DQJC0B,I purchased this item for dusting on my Harley. It easily gets into hard to reach areas to keep them dust free. I also have used it for dusting in my automobile where it works well. I would recommend this product to all my friends. I do own the full sized California Duster for exterior dusting and the full size interior duster. They all work perfectly.,5,Perfect Size,1404086400,0,0,California Car Duster,California Car Duster 62447-8B Mini Duster,9.95
B00008RW9V,A22QKNGN59XYZG,I Love it  . Takes a while to break in until then you may get some wax streaks and not pick up all the dust but within a month it is perfect and like they say only improves the dirtier it becomes just shake off outside before putting back in the case and stuffing it in the trunk or map pocket .,5,Just perfect size  for interiors . Cleans dash and instrument panel perfect .,1403049600,0,0,California Car Duster,California Car Duster 62447-8B Mini Duster,9.95
